XeroClientName,Status,ToAutomate,Frequency,PAYGI,GSTAccountingMethod,AsanaTaskID,OneDrivePath
Cato Logistics Pty Ltc,,,Quarterly,No Payroll,Cash Basis,,
CESSNOCK ZAM PTY LTD,,,Quarterly,,Cash Basis,,
COFFS SOUTH ZAM PTY LTD,,,Quarterly,,Cash Basis,,
ELLE FOOTBALL ACADEMY PTY LTD,,,Quarterly,Monthly,Cash Basis,,
ENGINEERING LAB NSW PTY LTD,,,Quarterly,No Payroll,Cash Basis,,
PINNACLE HOSPITALITY GROUP PTY LTD,,,Quarterly,,Cash Basis,,
RICHBOX PTY LTD,,,Quarterly,,Cash Basis,,
Stropro Technologies Pty Ltd,,,Quarterly,,Cash Basis,,
SUPERFOODS AUSTRALIA PTY LTD,,,Quarterly,,Cash Basis,,
The Trustee for Capspace Private Debt Fund,,,Quarterly,No Payroll,Cash Basis,,
The Trustee for Strobel Ryan Family Trust,,,Quarterly,,Cash Basis,,
The Trustee for The Studio by Abbey Hair Trust,,,Quarterly,,Cash Basis,,
BD Plus Pty Ltd,,,Quarterly,,Accrual Basis,1198929613501583,
COOGEE ZAM PTY LTD,,,Quarterly,,Cash Basis,,
PINNACLE CJ'S NOWRA PTY LTD,,,Quarterly,,Cash Basis,,
PINNACLE CJ'S WARRAWONG PTY LTD,,,Quarterly,,Cash Basis,,
PINNACLE OPORTO ULLADULLA PTY LTD,,,Quarterly,,Cash Basis,,
PINNACLE OPORTO WARRAWONG PTY LTD,,,Quarterly,,Cash Basis,,
PINNACLE OPORTO WODONGA PTY LTD,,,Quarterly,,Cash Basis,,
Spectrum Retail Developments,,,Quarterly,,Accrual Basis,,
The Trustee for Spectrum REIT 23 Unit Trust,,,Quarterly,,Accrual Basis,,
THE TRUSTEE FOR SPECTRUM REIT 40 TRUST,,,Quarterly,,Accrual Basis,,
UPSTAGE WORLD PTY LTD,,,Quarterly,Quarterly,Cash Basis,,
